playlist_uri,playlist_name
spotify:playlist:08a10zmxFv6C2AO2au7VQe,EDM 2012/2013
spotify:playlist:08abPJVvZL24wl6FwR1WAu,So this is Xmas
spotify:playlist:08axo4ErTpKmoQD2UuPAAT,EDM
spotify:playlist:08D2UOhw9IsKPNbHCOATms,Clean 80's Rock
spotify:playlist:08Ga1YNeRRZG91XgLK7YiM,Pain in vein ?? Issa vibee
spotify:playlist:08GBIzIRMTKNFAz6YaL0aY,PROGRESSIVE HOUSE EDM
spotify:playlist:08jcP0lsMYI9GKwqmttu9Z,BANG FOR CAM ?? (EDM)
spotify:playlist:08mh9yMHP7tIhUVPeJ5ls5,NAS CLEAN
spotify:playlist:08uYDjT4u1jsVZbkv7JTdP,Maroon 5 — Top Hits
spotify:playlist:08w8QpKKhcQnKHgxuFA9TX,This Is Travis Scott
spotify:playlist:091zpIzBe3sIKq5n1Zla9w,Hot new Hip Hop 
spotify:playlist:093BcTsPwXfZwgd95HCyKs,This is: Forfun & Braza
spotify:playlist:095Dbr1OkgXeSoxBA6Iv6w,THIS IS WHAT HEARTBREAK FEELS LIKE (PRETTY LITTLE LIAR) - JVKE Dandelion Upside Down anxiety. this I
spotify:playlist:098hVwvAVYKJZd5kTwm9Ra,BBQ 2022: Summer Party Classics
spotify:playlist:09AiYA4qDVrO3K7EVK4BqT,Upbeat Hiphop workout ???????
spotify:playlist:09bdfG0odWteZ2nLQJRBrB,SKI MASK THE SLUMP GOD CLEAN - STOKELEY CLEAN
spotify:playlist:09CGj0A5qTsIXyB7kHyX9w,Country Rap / Hick Hop
spotify:playlist:09HDZX51vP3uZ2LNlWrAgX,"This is it , no afterlife"
spotify:playlist:09ik001tgzif3p8WcCiKEp,BAZZI CLEAN!!!
spotify:playlist:09RTR6KIaemSinB4mAkccU,hype workout ??
spotify:playlist:09T8BRorjn8It7gCCKuT3U,EDM BANGERS 2022
spotify:playlist:09UJJbYoZKyOYY1CVLrVya,Christmas EDM
spotify:playlist:0a2v9eEd25pEisGfEcNXfI,???????TRAP WORKOUT???????
spotify:playlist:0a9XcgP2ADmuVw6OXdbzNL,This is Africa
spotify:playlist:0ab7xxgZlPD99boqxDZQLs,92.5 Country
spotify:playlist:0ABVkZSG9cLTOLl52r8ha6,Albanian 2022 | Top 100
spotify:playlist:0ACKSvSP5MsCdLpUuxRPwd,Today's Top Hits
spotify:playlist:0aDPKIukGyHYmqe3i9qR4R,Country Love Songs 90s and 2000s
spotify:playlist:0AdrfPJ0HsYN1s3is5sUd9,90s Country Music
spotify:playlist:0aEPHMcoEkngTxk6h9ebnQ,Today's Hits Edited - Clean
spotify:playlist:0Aes6ywGvQQ8CYL5C7804W,Melodic Trap Bass EDM
spotify:playlist:0AFmGFvKVosPa81y11jwWk,This is ZHOU
spotify:playlist:0AgX2TXosZqsyqNzZHHfFf,Queen - Top Hits
spotify:playlist:0AgZu5wvNVO6S7k63PnmfF,Up beat country music!!?
spotify:playlist:0ahnTiBzlkhgtw5suqku7K,2000 Throwbacks (Clean)
spotify:playlist:0ahR2IaWtNMfjAVdEl8VT2,chemistry is annoying af
spotify:playlist:0aiBKNSqiPnhtcw1QlXK5s,Nh?c Vi?t Top Hits - VPOP 2022
spotify:playlist:0AKdBAlo9H3dvlprQCAQIV,Good Old Country
spotify:playlist:0alOC7THSyObYwzInVZUqI,Primal Workout
spotify:playlist:0anV0lHi8LTULCeySNpWt5,Isaiah Rashad - Dawg House
spotify:playlist:0AoFXPuDaPw0JFsX8T3ZgE,Top Rock Hits
spotify:playlist:0AP96hpFgMGM84OgwHo0tG,80s Instrumental Pop Covers
spotify:playlist:0APzwV9pMMJrvWrdnOLAIw,Hip Hop Hot Hit Vi?t Nam 
spotify:playlist:0AsPZgyCRW17I9OkXYStgG,This Is Lil Nas X
spotify:playlist:0atZ9frQCGdoX2wYtTlpzQ,House Hits @Temphouse
spotify:playlist:0AwrebgJjik1HPdFeLNPTZ,Hits Tops Anos ??90/ 2000/2010??
spotify:playlist:0aXnOizaJ0eM1YIIcsSXSO,Best Hip-Hop Playlist
spotify:playlist:0aYHm2uWQfdZvcoWqVaVuh,
spotify:playlist:0b1BCyjT46t9JpuGYN64PH,Skiing EDM
spotify:playlist:0B3fhKSBEFrSqPDOULV6JY,Yoga Pop Chill
spotify:playlist:0B7cjMsBvxbmmDvwyiHKIr,FUNNY MEME SONGS (clean)
spotify:playlist:0Bb0nuIh6pRqrqdsfXxiAh,this is africa
spotify:playlist:0BBr39knFU8UIDv9HK5iEm,Cocaine country
spotify:playlist:0bC2yYyhCrmbU4YGvA16RO,Clean - Old School R&B/Hip Hop
